"";"Onderwerpen";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Kenmerken gemeente";"Kenmerken gemeente";"Kenmerken gemeente";"Kenmerken gemeente"
"";"Onderwerpen";"Totaal huishoudelijk afval";"Huishoudelijk restafval";"Grof huishoudelijk restafval";"Verbouwingsrestafval";"GFT-afval";"Oud papier en karton";"Verpakkingsglas";"Textiel";"Klein chemisch afval (KCA)";"Metalen verpakkingen (blik)";"Drankenkartons";"Kunststof verpakkingen";"Overige kunststoffen";"Luiers";"Wit- en bruingoed";"Grof tuinafval";"Bruikbaar huisraad";"Vloerbedekking";"Vlakglas";"Metalen";"Houtafval (A- en B-hout)";"Houtafval (C-hout)";"Schoon puin";"Bitumenhoudende dakbedekking";"Asbesthoudend afval";"Autobanden";"Schone grond";"Overige afvalstoffen";"Gemeentecode";"Provincie";"Stedelijkheid";"Inwoners per 1 januari"
"Regio's";"Perioden";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"";"";"";"aantal"
"Aalburg";"2007";"597";"199";"32";"-";"160";"97";"17";"4";"2";"-";"0";"0";"-";"2";"4";"21";"1";"-";"1";"3";"27";"3";"22";"-";"2";"0";"-";"0";"0738";"Noord-Brabant";"Niet stedelijk";"12293"
"Aalburg";"2008";"590";"202";"28";"-";"161";"83";"17";"5";"2";"-";"2";"1";"2";"4";"5";"33";"1";"-";"1";"3";"21";"3";"15";"-";"1";"0";"-";"0";"0738";"Noord-Brabant";"Niet stedelijk";"12386"
"Aalburg";"2009";"580";"210";"21";"-";"170";"83";"17";"5";"2";"-";"2";"2";"2";"4";"4";"21";"2";"-";"1";"4";"16";"2";"12";"-";"2";"0";"-";"0";"0738";"Noord-Brabant";"Niet stedelijk";"12556"
"Aalburg";"2010";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"0738";"Noord-Brabant";"Niet stedelijk";"12614"
"Aalburg";"2011";"546";"207";"16";"-";"159";"76";"17";"4";"2";"-";"2";"4";"2";"5";"4";"17";"0";"-";"1";"3";"16";"2";"9";"1";"1";"0";"-";"0";"0738";"Noord-Brabant";"Niet stedelijk";"12685"
"Aalburg";"2012*";"536";"200";"15";"-";"155";"75";"17";"4";"2";"-";"2";"11";"1";"5";"3";"15";"1";"-";"1";"2";"14";"2";"9";"0";"1";"0";"-";"0";"0738";"Noord-Brabant";"Niet stedelijk";"12749"
"Aalsmeer";"2002";"594";"216";"26";"-";"131";"79";"25";".";"1";"-";"-";"-";".";".";"2";"33";"-";"2";"1";"8";"26";".";"34";"-";"1";"0";"3";"-";"0358";"Noord-Holland";"Weinig stedelijk";"22713"
"Aalsmeer";"2003";"587";"216";"25";"-";"130";"78";"22";"4";"2";"0";"-";"-";".";".";"2";"32";"-";"2";"1";"4";"27";".";"39";"-";"1";"0";"1";"-";"0358";"Noord-Holland";"Weinig stedelijk";"22839"
"Aalsmeer";"2004";".";"217";".";"-";"137";"74";"26";"5";".";"-";"-";"-";".";".";"3";".";"-";".";".";".";".";".";".";"-";".";".";".";"-";"0358";"Noord-Holland";"Weinig stedelijk";"22915"
"Aalsmeer";"2005";"617";"215";"54";"-";"134";"71";"25";"5";"2";"-";"-";"-";".";".";".";"34";"-";"2";"2";".";"29";".";"30";"1";"1";"0";"-";"-";"0358";"Noord-Holland";"Weinig stedelijk";"23296"
"Aalsmeer";"2006";"597";"217";"43";"-";"127";"73";"24";"4";"2";"-";"-";"-";".";".";"3";"31";"-";"2";"1";".";"29";".";"32";"1";"0";"0";"-";"-";"0358";"Noord-Holland";"Weinig stedelijk";"24145"
"Aalsmeer";"2007";"590";"216";"39";"-";"119";"69";"25";"4";"2";"-";"-";"1";"-";"-";"2";"35";"-";"2";"2";"5";"24";"8";"34";"1";"1";"0";"-";"-";"0358";"Noord-Holland";"Weinig stedelijk";"25019"
"Aalsmeer";"2008";"589";"212";"41";"-";"116";"77";"25";"4";"2";"-";"-";"2";"-";"-";"2";"33";"-";"2";"2";"5";"22";"6";"35";"1";"1";"0";"-";"-";"0358";"Noord-Holland";"Weinig stedelijk";"26386"
"Aalsmeer";"2009";"547";"201";"32";"-";"109";"68";"24";"4";"2";"-";"-";"4";"-";"-";"1";"32";"1";"2";"1";"6";"20";"6";"32";"1";"1";"0";"-";"-";"0358";"Noord-Holland";"Weinig stedelijk";"28006"
"Aalsmeer";"2010";"543";"195";"25";"-";"105";"68";"24";"3";"2";"-";"-";"6";"-";"-";"5";"33";"1";"1";"1";"5";"24";"6";"37";"1";"0";"0";"-";"0";"0358";"Noord-Holland";"Weinig stedelijk";"29187"
"Aalsmeer";"2011";"534";"186";"25";"-";"107";"61";"25";"4";"2";"-";"-";"6";"-";"-";"4";"35";"1";"1";"1";"5";"22";"5";"38";"1";"1";"0";"-";"3";"0358";"Noord-Holland";"Weinig stedelijk";"30189"
"Aalsmeer";"2012*";"536";"188";"24";"-";"107";"71";"25";"3";"2";"-";"-";"7";"2";"-";"5";"33";"-";"2";"1";"4";"21";"6";"31";"1";"1";"0";"-";"2";"0358";"Noord-Holland";"Weinig stedelijk";"30364"
"Aalten";"2002";"518";"166";"36";"27";"146";"88";"23";".";".";"1";"-";"-";".";".";"1";".";".";"5";"-";"-";".";".";"-";"-";"0";"0";"-";"-";"0197";"Gelderland";"Weinig stedelijk";"18819"
"Aalten";"2003";"518";"172";"18";"28";"133";"81";"21";"3";"2";".";"-";"-";".";".";".";"6";".";"8";".";"4";"23";".";"3";"-";"0";"0";"-";"-";"0197";"Gelderland";"Weinig stedelijk";"18855"
